"DEPTID","HIRE_DT","ANNUAL_RT","Gross"
"A64126","8/30/1993","76165.00","95844.43"
"A99005","6/3/2014","58963.00","62289.27"
"A99061","4/17/2015","49833.00","60570.92"
"A12002","2/22/2010","78500.00","78337.03"
"A29036","6/5/2000","58946.00","58263.42"
"A99337","12/7/2004","72775.00","94154.60"
"A85301","3/3/2016","54434.00","38455.66"
"A40001","9/14/2015","59500.00","55338.05"
"A23001","9/26/2005","117100.00","115934.64"
"A08002","3/14/2016","68700.00","61153.90"
"A31001","7/31/2017","39800.00","39800.00"
"A06019","1/3/2012","48158.00","44685.37"
"A50803","2/10/1997","66083.00","68260.27"
"A19102","2/15/1989","85600.00","84778.39"
"A99304","1/7/1997","82326.00","104572.48"
"A50208","10/28/2002","31345.00","32141.28"
"P04001","6/16/2015","20800.00","20800.00"
"A03092","12/19/2016","48603.00","21786.88"
"A01001","6/11/2009","29494.00","29494.00"
"A75055","11/9/2015","47947.00","43298.04"
"A99310","7/16/1996","83044.00","88898.73"
"A99195","7/1/2014","58963.00","72812.03"
"A68007","8/19/2006","36439.00","37938.59"
"A99034","12/13/2010","66784.00","87359.13"
"B70356","12/6/2006","31345.00","30091.35"
"A08010","4/20/2010","74400.00","71602.05"
"A84401","5/25/1989","40383.00","38369.78"
"A64203","2/22/1994","87455.00","86691.34"
"A49506","6/8/1989","54826.00","88734.12"
"A75082","4/26/2004","42852.00","31899.38"
"A50804","4/23/2007","40323.00","41381.29"
"A84401","7/25/2013","34362.00","33585.02"
"A99162","2/1/2005","84548.00","116083.44"
"A38002","7/5/2012","40631.00","38945.05"
"A49300","11/28/2011","34362.00","34871.64"
"A16001","8/2/1999","69400.00","65907.56"
"A65531","12/9/1996","58081.00","59765.95"
"A99386","5/30/2017","73400.00","2501.88"
"A06010","6/2/2010","29500.00","37703.05"
"A99265","1/23/2013","62676.00","30687.09"
"A99409","4/20/1998","80387.00","124128.91"
"A64135","9/17/1990","80801.00","96457.22"
"A91015","3/15/2007","42852.00","42927.51"
"A29045","8/1/2016","76500.00","66346.24"
"P04002","6/6/1998","20800.00","12817.50"
"A03086","7/16/2012","60700.00","59670.95"
"B70413","1/31/2004","36608.00","42552.95"
"A70105","6/3/2014","31221.00","30968.01"
"A99321","6/26/1995","81784.00","107013.01"
"A99405","10/25/1994","82326.00","100989.97"
"A49390","7/12/2013","29890.00","28968.01"
"A49506","9/13/1982","40137.00","41411.20"
"B70357","7/3/2000","32260.00","40883.82"
"A99034","6/26/2007","71412.00","74889.51"
"A84401","12/8/2016","20800.00","9876.70"
"A54004","6/22/2009","42602.00","36846.10"
"A70404","9/5/2006","29453.00","33029.48"
"A99308","9/23/1998","39609.00","77336.18"
"A50509","3/23/2015","29890.00","53148.25"
"C90786","6/11/2012","10548.00","10180.66"
"B70411","11/7/2005","36608.00","36117.25"
"A91013","5/30/2014","27818.00","8477.70"
"A83010","10/25/2005","81500.00","80443.44"
"A99006","8/29/2012","66122.00","76997.61"
"A49108","2/27/2017","67218.00","20276.95"
"A41116","11/3/2008","39983.00","45816.61"
"B70372","12/2/1996","33176.00","40863.72"
"A65006","6/29/2006","44594.00","44010.12"
"A64604","7/29/2017","37415.00","37415.00"
"A99363","8/8/2007","29994.00","24254.76"
"A49310","11/28/1977","46693.00","53913.90"
"A70103","4/25/1994","35294.00","35488.50"
"A50638","2/4/2016","29599.00","28256.84"
"A19103","8/15/2016","76500.00","63711.51"
"A67012","5/22/2017","29120.00","959.00"
"A50204","7/21/2014","52424.00","43287.16"
"A64130","5/13/1991","78527.00","97118.70"
"A50602","1/2/2013","36128.00","49107.64"
"A24002","3/6/2017","122400.00","34689.73"
"C90786","5/21/2012","10548.00","10218.55"
"P04001","7/6/2016","24960.00","15666.00"
"A01001","11/2/2009","79152.00","62536.52"
"A83001","12/3/2014","92900.00","91765.29"
"A08002","4/29/2013","100400.00","98073.56"
"A64126","3/31/1997","99095.00","93989.24"
"A99297","12/17/2007","73454.00","76588.89"
"A50101","3/27/2017","76500.00","17307.72"
"A65102","11/10/1997","61890.00","63897.84"
"A70360","9/26/2016","29120.00","17982.09"
"A19101","3/2/2015","65500.00","60943.84"
"A64218","8/13/2003","67262.00","68622.79"
"A99307","12/4/2001","76892.00","83483.27"
"C90786","8/31/1998","11180.00","10883.96"
"A70104","10/15/2001","44712.00","64851.24"
"A29017","9/2/1997","106300.00","104277.03"
"A64465","1/15/2003","72788.00","149778.77"
"A64229","9/23/2015","47950.00","59401.67"
"A52003","10/2/2006","54883.00","54089.07"
"A08002","3/19/1998","45900.00","10384.62"
"A64003","10/30/1997","71097.00","77126.56"
"A65201","5/23/2016","35564.00","36891.86"
"A85100","8/20/2011","128200.00","101589.79"
"A99305","5/30/1995","94848.00","107494.47"
"A41101","2/21/2008","135400.00","134247.62"
"A19104","6/9/2014","64300.00","63102.14"
"A41105","10/28/1997","56482.00","55842.46"
"A99416","8/7/2017","48971.00","48971.00"
"A75052","7/1/2009","42350.00","44228.09"
"A99416","3/17/2017","48971.00","11756.96"
"A04015","3/16/2016","19802.00","12442.91"
"B70346","11/2/1998","32260.00","33521.71"
"A64121","8/18/2008","65009.00","70873.28"
"A99033","8/16/2007","73138.00","87434.95"
"A99002","10/14/2008","70051.00","73212.24"
"A85001","10/17/2005","36439.00","37694.61"
"B49320","10/23/2006","31345.00","31415.78"
"A14008","11/9/1998","42381.00","50548.65"
"A40001","9/14/2015","59500.00","56117.29"
